SK_ID_CURR,TARGET
100001,0.27599075306799553
100005,0.5642688906143822
100013,0.1727372230009122
100028,0.3019784517584043
100038,0.6774548253735762
100042,0.2810531755939442
100057,0.10784285341234531
100065,0.30097024929032523
100066,0.1202521194477796
100067,0.41961923618649716
100074,0.48031384111504893
100090,0.3447350051126748
100091,0.6916376680107825
100092,0.5285229789426074
100106,0.5014531412608079
100107,0.6047457184609775
100109,0.4401382653324363
100117,0.2595171494869893
100128,0.4564701029971562
100141,0.20609684897230057
100150,0.14675452006476336
100168,0.09346922765674812
100169,0.2704390404328611
100170,0.46678142875732814
100171,0.3439231684448737
100172,0.49216948556475004
100184,0.41141632666760586
100187,0.45589687102003223
100212,0.4671199321048855
100222,0.44034660434993034
100223,0.15964472370817281
100232,0.1597561884739702
100241,0.7342191635286286
100245,0.19864724092981909
100253,0.1838897823377401
100256,0.476709359532159
100271,0.09927194743438064
100278,0.7758020248087579
100280,0.10106839980293074
100306,0.6918573823831088
100311,0.7075035231077789
100312,0.21509339042570902
100330,0.6185448683485997
100331,0.3242063286343177
100352,0.5473165952051773
100358,0.42080245862341603
100367,0.22937224614465349
100382,0.7315272475809409
100384,0.39444538402379736
100385,0.5376861238095485
100386,0.3244512349553601
100399,0.2072041009505336
100404,0.4239996668376228
100416,0.1639435737151339
100422,0.5792913937954944
100426,0.21935188277158035
100438,0.30122656903464773
100444,0.6693322459170322
100445,0.723318576053626
100446,0.4441430847589874
100447,0.180506257636602
100450,0.35288561300666105
100466,0.13871658928296418
100483,0.21225569231933247
100484,0.1448745821331776
100494,0.43616038878488855
100510,0.7459647164782179
100512,0.13969169139721652
100517,0.29499513602934974
100548,0.2772944897247896
100551,0.26294065994784427
100552,0.47395015294016785
100553,0.2154221307589722
100561,0.5433569783095807
100568,0.882364389094038
100569,0.2836126033655182
100591,0.41861697593926384
100592,0.17405129739768138
100602,0.532476646711225
100607,0.4165587144801433
100613,0.5270776270578352
100617,0.6673636841020482
100618,0.4559171311221551
100622,0.33085816316977945
100625,0.6481102555757191
100677,0.6807998820987751
100699,0.3533378142737215
100702,0.8433630668246173
100711,0.46686958146128
100729,0.6189649410316853
100740,0.793731734739561
100744,0.7064102851766698
100745,0.37698908545071047
100747,0.5172924891313498
100751,0.792351182209474
100752,0.4041355192281059
100753,0.773807949085267
100754,0.7124190451142332
100760,0.3615964763743488
100762,0.5483549415515344
100763,0.40084255434784877
100765,0.12399831926956706
100770,0.3881263689537377
100772,0.18881556595403315
100777,0.21191477097315564
100791,0.19108325227299602
100792,0.08960002188735683
100797,0.21183622450855838
100823,0.2879589883337245
100826,0.2610547682322235
100830,0.319105781978822
100836,0.8086930114423216
100872,0.43857760008922875
100910,0.3443649561271115
100913,0.5889860779473113
100918,0.22467380941956883
100931,0.11784225957081196
100952,0.36290569184431004
100953,0.37784121838516094
100965,0.7537278642768513
100970,0.26988175680759235
100982,0.6580832761390368
100983,0.7588032982599312
